"t"	"T"
"s"	"°C"
356.5	57.6866799352723399
357	57.6866799352723399
357.5	57.7191791661445748
358	57.6866799352723399
358.5	57.6866799352723399
359	57.6866799352723399
359.5	57.7191791661445748
360	57.7191791661445748
360.5	57.6866799352723399
361	57.7191791661445748
361.5	57.6866799352723399
362	57.7191791661445748
362.5	57.6866799352723399
363	57.7191791661445748
363.5	57.6866799352723399
364	57.6866799352723399
364.5	57.7191791661445748
365	57.7191791661445748
365.5	57.6866799352723399
366	57.6866799352723399
366.5	57.7191791661445748
367	57.6866799352723399
367.5	57.7191791661445748
368	57.6866799352723399
368.5	57.7191791661445748
369	57.6866799352723399
369.5	57.6866799352723399
370	57.6866799352723399
370.5	57.6866799352723399
371	57.7191791661445748
371.5	57.6866799352723399
372	57.7191791661445748
372.5	57.6866799352723399
373	57.6866799352723399
373.5	57.6866799352723399
374	57.7191791661445748
374.5	57.6866799352723399
375	57.7191791661445748
375.5	57.7191791661445748
376	57.7191791661445748
376.5	57.7191791661445748
377	57.7191791661445748
377.5	57.7191791661445748
378	57.7191791661445748
378.5	57.7191791661445748
379	57.7191791661445748
379.5	57.7191791661445748
380	57.7191791661445748
380.5	57.7191791661445748
381	57.7191791661445748
381.5	57.7191791661445748
382	57.7191791661445748
382.5	57.7191791661445748
383	57.7191791661445748
383.5	57.7191791661445748
384	57.7191791661445748
384.5	57.7191791661445748
385	57.7191791661445748
385.5	57.7191791661445748
386	57.7191791661445748
386.5	57.7191791661445748
387	57.7191791661445748
387.5	57.7191791661445748
388	57.7191791661445748
388.5	57.7191791661445748
389	57.7191791661445748
389.5	57.7563466441763251
390	57.7191791661445748
390.5	57.7191791661445748
391	57.7563466441763251
391.5	57.7191791661445748
392	57.7563466441763251
392.5	57.7563466441763251
393	57.7191791661445748
393.5	57.7191791661445748
394	57.7191791661445748
394.5	57.7191791661445748
395	57.7191791661445748
395.5	57.7191791661445748
396	57.7191791661445748
396.5	57.7191791661445748
397	57.7191791661445748
397.5	57.7191791661445748
398	57.7191791661445748
398.5	57.7191791661445748
399	57.7191791661445748
399.5	57.7191791661445748
400	57.7191791661445748
400.5	57.7191791661445748
401	57.7191791661445748
401.5	57.7191791661445748
402	57.7191791661445748
402.5	57.7191791661445748
403	57.7191791661445748
403.5	57.7191791661445748
404	57.7191791661445748
404.5	57.7191791661445748
405	57.7191791661445748
405.5	57.7191791661445748
406	57.7191791661445748
406.5	57.7191791661445748
407	57.7191791661445748
407.5	57.7191791661445748
408	57.7191791661445748
408.5	57.7191791661445748
409	57.7191791661445748
409.5	57.7191791661445748
410	57.7191791661445748
410.5	57.7191791661445748
411	57.7191791661445748
411.5	57.7191791661445748
412	57.7191791661445748
412.5	57.7191791661445748
413	57.7191791661445748
413.5	57.7191791661445748
414	57.7191791661445748
414.5	57.7191791661445748
415	57.7191791661445748
415.5	57.7191791661445748
416	57.7191791661445748
416.5	57.7191791661445748
417	57.7191791661445748
417.5	57.7191791661445748
418	57.7191791661445748
418.5	57.7191791661445748
419	57.7191791661445748
419.5	57.7191791661445748
420	57.7191791661445748
420.5	57.7191791661445748
421	57.7191791661445748
421.5	57.7191791661445748
422	57.7191791661445748
422.5	57.7191791661445748
423	57.7191791661445748
423.5	57.7191791661445748
424	57.7191791661445748
424.5	57.7191791661445748
425	57.7191791661445748
425.5	57.7191791661445748
426	57.7191791661445748
426.5	57.7191791661445748
427	57.7191791661445748
427.5	57.7191791661445748
428	57.7191791661445748
428.5	57.7191791661445748
429	57.7191791661445748
429.5	57.7191791661445748
430	57.7191791661445748
430.5	57.7191791661445748
431	57.7191791661445748
431.5	57.7191791661445748
432	57.7191791661445748
432.5	57.7191791661445748
433	57.7191791661445748
433.5	57.7191791661445748
434	57.7191791661445748
434.5	57.7191791661445748
435	57.7191791661445748
435.5	57.7191791661445748
436	57.7191791661445748
436.5	57.7191791661445748
437	57.7191791661445748
437.5	57.7191791661445748
438	57.7191791661445748
438.5	57.7191791661445748
439	57.7191791661445748
439.5	57.7191791661445748
440	57.7191791661445748
440.5	57.6866799352723399
441	57.7191791661445748
441.5	57.7191791661445748
442	57.7191791661445748
442.5	57.7191791661445748
443	57.7191791661445748
443.5	57.7191791661445748
444	57.7191791661445748
444.5	57.7191791661445748
445	57.7191791661445748
445.5	57.7191791661445748
446	57.7191791661445748
446.5	57.7191791661445748
447	57.7191791661445748
447.5	57.7191791661445748
448	57.7191791661445748
448.5	57.7191791661445748
449	57.7191791661445748
449.5	57.7191791661445748
450	57.7191791661445748
450.5	57.7191791661445748
451	57.7191791661445748
451.5	57.7191791661445748
452	57.7191791661445748
452.5	57.7191791661445748
453	57.7191791661445748
453.5	57.6866799352723399
454	57.7191791661445748
454.5	57.6866799352723399
455	57.7191791661445748
455.5	57.7191791661445748
456	57.7191791661445748
456.5	57.7191791661445748
457	57.6866799352723399
457.5	57.7191791661445748
458	57.6866799352723399
458.5	57.7191791661445748
459	57.7191791661445748
459.5	57.6866799352723399
460	57.6866799352723399
460.5	57.6866799352723399
461	57.6866799352723399
461.5	57.6866799352723399
462	57.7191791661445748
462.5	57.6866799352723399
463	57.7191791661445748
463.5	57.6866799352723399
464	57.7191791661445748
464.5	57.6866799352723399
465	57.6866799352723399
465.5	57.6866799352723399
466	57.7191791661445748
466.5	57.6866799352723399
467	57.6866799352723399
467.5	57.6866799352723399
468	57.7191791661445748
468.5	57.7191791661445748
469	57.6866799352723399
469.5	57.7191791661445748
470	57.6866799352723399
470.5	57.7191791661445748
471	57.6866799352723399
471.5	57.7191791661445748
472	57.6866799352723399
472.5	57.6866799352723399
473	57.6866799352723399
473.5	57.6866799352723399
474	57.6866799352723399
474.5	57.6866799352723399
475	57.6866799352723399
475.5	57.6866799352723399
476	57.6866799352723399
476.5	57.6866799352723399
477	57.6866799352723399
477.5	57.6866799352723399
478	57.6866799352723399
478.5	57.6866799352723399
479	57.6866799352723399
479.5	57.6866799352723399
480	57.6866799352723399
480.5	57.6866799352723399
481	57.6866799352723399
481.5	57.6866799352723399
482	57.6866799352723399
482.5	57.6866799352723399
483	57.6866799352723399
483.5	57.6866799352723399
484	57.6866799352723399
484.5	57.6866799352723399
485	57.6866799352723399
485.5	57.6866799352723399
486	57.6866799352723399
486.5	57.6866799352723399
487	57.6866799352723399
487.5	57.6866799352723399
488	57.6495582552210708
488.5	57.6866799352723399
489	57.6866799352723399
489.5	57.6866799352723399
